trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
84,i(1),5,0,0.0833333333333333,ERM 1,1075948,1070077,1075948
85,c(5),5,1,0.125,ERM 1,1080836,1076949,1080836
86,c(5),5,1,0.166666666666667,ERM 1,1086700,1081839,1086700
87,f(7),5,0,0.125,ERM 1,1092739,1087701,1092740
88,f(7),5,0,0.0833333333333333,ERM 1,1098475,1093741,1098476
89,g(7),5,0,0.0833333333333333,ERM 1,1104772,1099477,1104772
90,j(1),5,0,0.0833333333333333,ERM 1,1113004,1105774,1113004
91,g(7),5,0,0.0833333333333333,ERM 1,1118972,1114009,1118972
92,l(3),5,0,0.0833333333333333,ERM 1,1124963,1119973,1124963
93,d(5),5,1,0.125,ERM 1,1131123,1125964,1131123
94,b(4),5,0,0.125,ERM 1,1137044,1132124,1137044
95,k(2),5,0,0.125,ERM 1,1144052,1138046,1144052
96,b(4),5,0,0.125,ERM 1,1149644,1145053,1149644
