trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
82,k(2),3,0,0.791666666666667,ERM 1,210537,211539,211939
83,f(7),7,1,0.833333333333333,ERM 1,212659,213662,214554
84,c(5),5,1,0.833333333333333,ERM 1,215281,216283,216761
85,g(7),7,1,0.833333333333333,ERM 1,217466,218469,219130
86,i(1),1,1,0.833333333333333,ERM 1,219839,220841,221077
87,b(4),4,1,0.833333333333333,ERM 1,221888,222891,223354
88,g(7),7,1,0.833333333333333,ERM 1,224107,225109,225604
89,i(1),1,1,0.833333333333333,ERM 1,226441,227444,227778
90,e(6),7,0,0.791666666666667,ERM 1,228553,229555,229939
91,a(3),5,0,0.75,ERM 1,230731,231733,232554
92,h(0),7,0,0.708333333333333,ERM 1,233405,234407,234786
93,d(5),5,1,0.708333333333333,ERM 1,235562,236566,237036
94,g(7),7,1,0.708333333333333,ERM 1,237869,238871,239192
95,j(1),1,1,0.708333333333333,ERM 1,239991,240993,241403
96,j(1),1,1,0.708333333333333,ERM 1,242209,243211,243732
